summary_json,n,errors,empty_input,output_null,nan_out,inf_out,finite_out
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/constant_matrices/runs/cnn_bn/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/constant_matrices/runs/cosine_similarity/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/constant_matrices/runs/lstm_small/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/constant_matrices/runs/op_div/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/constant_matrices/runs/op_exp/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/constant_matrices/runs/op_log/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/constant_matrices/runs/op_pow/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/constant_matrices/runs/op_sigmoid/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/cosine_pairs/runs/cnn_bn/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/cosine_pairs/runs/cosine_similarity/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/cosine_pairs/runs/lstm_small/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/cosine_pairs/runs/op_div/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/cosine_pairs/runs/op_exp/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/cosine_pairs/runs/op_log/summary.json,5,0,0,0,1,1,3
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/cosine_pairs/runs/op_pow/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/cosine_pairs/runs/op_sigmoid/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/cnn_bn/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/cosine_similarity/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/lstm_small/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/op_div/summary.json,5,0,0,0,0,1,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/op_exp/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/op_log/summary.json,5,0,0,0,1,1,3
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/op_pow/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/op_sigmoid/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/seq_div__div_torch/summary.json,5,0,0,0,0,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/seq_div__exp_torch/summary.json,5,0,0,0,0,4,1
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/seq_div__log_torch/summary.json,5,0,0,0,1,1,3
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/denom_near_zero/runs/seq_div__pow2_torch/summary.json,5,0,0,0,0,1,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/extreme_magnitudes/runs/cnn_bn/summary.json,6,0,0,0,0,0,6
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/extreme_magnitudes/runs/cosine_similarity/summary.json,6,0,0,0,0,0,6
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/extreme_magnitudes/runs/lstm_small/summary.json,6,0,0,0,0,0,6
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/extreme_magnitudes/runs/op_div/summary.json,6,0,0,0,0,0,6
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/extreme_magnitudes/runs/op_exp/summary.json,6,0,0,0,0,3,3
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/extreme_magnitudes/runs/op_log/summary.json,6,0,0,0,1,0,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/extreme_magnitudes/runs/op_pow/summary.json,6,0,0,0,0,1,5
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/extreme_magnitudes/runs/op_sigmoid/summary.json,6,0,0,0,0,0,6
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/lstm/runs/lstm_small_seqtest/summary.json,12,0,0,0,0,0,12
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/pow_edge_cases/runs/cnn_bn/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/pow_edge_cases/runs/cosine_similarity/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/pow_edge_cases/runs/lstm_small/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/pow_edge_cases/runs/op_div/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/pow_edge_cases/runs/op_exp/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/pow_edge_cases/runs/op_log/summary.json,4,0,0,0,2,1,1
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/pow_edge_cases/runs/op_pow/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/pow_edge_cases/runs/op_sigmoid/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/cnn_bn/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/cosine_similarity/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/lstm_small/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/op_div/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/op_exp/summary.json,4,0,0,0,0,2,2
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/op_log/summary.json,4,0,0,0,2,0,2
