run,model,framework,dataset,total,num_nan,num_inf,num_error
mock_run_2,model_div,onnx,klee-out-2,3,2,0,0
mock_run_2,model_log,onnx,klee-out-2,3,0,1,0
mock_run_1,model_div,onnx,klee-out-1,5,1,0,0
mock_run_1,model_div,pytorch,klee-out-1,5,0,0,0
run_latest,model_add,pytorch,klee-out-1,68,37,40,0
run_latest,model_add,pytorch,klee-out-2,1,0,0,0
run_latest,model_add,pytorch,klee-out-exp-long,1,0,0,0
run_latest,model_add,onnx,klee-out-1,68,0,0,68
run_latest,model_add,onnx,klee-out-2,1,0,0,1
run_latest,model_add,onnx,klee-out-exp-long,1,0,0,1
run_latest,model_sub,pytorch,klee-out-1,68,37,40,0
run_latest,model_sub,pytorch,klee-out-2,1,0,0,0
run_latest,model_sub,pytorch,klee-out-exp-long,1,0,0,0
run_latest,model_sub,onnx,klee-out-1,68,0,0,68
run_latest,model_sub,onnx,klee-out-2,1,0,0,1
run_latest,model_sub,onnx,klee-out-exp-long,1,0,0,1
run_latest,model_div,pytorch,klee-out-1,68,58,0,0
run_latest,model_div,pytorch,klee-out-2,1,0,0,0
run_latest,model_div,pytorch,klee-out-exp-long,1,0,0,0
run_latest,model_div,onnx,klee-out-1,68,0,0,68
run_latest,model_div,onnx,klee-out-2,1,0,0,1
run_latest,model_div,onnx,klee-out-exp-long,1,0,0,1
run_latest,model_exp,pytorch,klee-out-1,68,37,44,0
run_latest,model_exp,pytorch,klee-out-2,1,0,0,0
run_latest,model_exp,pytorch,klee-out-exp-long,1,0,0,0
run_latest,model_exp,onnx,klee-out-1,68,0,0,68
run_latest,model_exp,onnx,klee-out-2,1,0,0,1
run_latest,model_exp,onnx,klee-out-exp-long,1,0,0,1
run_latest,model_log,pytorch,klee-out-1,68,37,40,0
run_latest,model_log,pytorch,klee-out-2,1,0,0,0
run_latest,model_log,pytorch,klee-out-exp-long,1,0,0,0
run_latest,model_log,onnx,klee-out-1,68,0,0,68
run_latest,model_log,onnx,klee-out-2,1,0,0,1
run_latest,model_log,onnx,klee-out-exp-long,1,0,0,1
run_latest,model_pow,pytorch,klee-out-1,68,37,42,0
run_latest,model_pow,pytorch,klee-out-2,1,0,0,0
run_latest,model_pow,pytorch,klee-out-exp-long,1,0,0,0
run_latest,model_pow,onnx,klee-out-1,68,0,0,68
run_latest,model_pow,onnx,klee-out-2,1,0,0,1
run_latest,model_pow,onnx,klee-out-exp-long,1,0,0,1
run_latest,model_sigmoid,pytorch,klee-out-1,68,37,0,0
run_latest,model_sigmoid,pytorch,klee-out-2,1,0,0,0
run_latest,model_sigmoid,pytorch,klee-out-exp-long,1,0,0,0
run_latest,model_sigmoid,onnx,klee-out-1,68,0,0,68
run_latest,model_sigmoid,onnx,klee-out-2,1,0,0,1
run_latest,model_sigmoid,onnx,klee-out-exp-long,1,0,0,1
run_latest,model_softmax,pytorch,klee-out-1,68,58,0,0
run_latest,model_softmax,pytorch,klee-out-2,1,0,0,0
run_latest,model_softmax,pytorch,klee-out-exp-long,1,0,0,0
run_latest,model_softmax,onnx,klee-out-1,68,0,0,68
run_latest,model_softmax,onnx,klee-out-2,1,0,0,1
run_latest,model_softmax,onnx,klee-out-exp-long,1,0,0,1
run_latest,model_cossim,pytorch,klee-out-1,68,58,0,0
run_latest,model_cossim,pytorch,klee-out-2,1,0,0,0
run_latest,model_cossim,pytorch,klee-out-exp-long,1,0,0,0
run_latest,model_cossim,onnx,klee-out-1,68,0,0,68
run_latest,model_cossim,onnx,klee-out-2,1,0,0,1
run_latest,model_cossim,onnx,klee-out-exp-long,1,0,0,1
run_latest,model_add_add,pytorch,klee-out-1,68,37,40,0
run_latest,model_add_add,pytorch,klee-out-2,1,0,0,0
run_latest,model_add_add,pytorch,klee-out-exp-long,1,0,0,0
run_latest,model_add_add,onnx,klee-out-1,68,0,0,68
run_latest,model_add_add,onnx,klee-out-2,1,0,0,1
run_latest,model_add_add,onnx,klee-out-exp-long,1,0,0,1
