run,model,dataset,frameworks,stats_json,max_nan,max_inf,max_error
mock_run_2,model_div,klee-out-2,onnx,"{""onnx"": {""total"": 3, ""num_nan"": 2, ""num_inf"": 0, ""num_error"": 0}}",2,0,0
mock_run_2,model_log,klee-out-2,onnx,"{""onnx"": {""total"": 3, ""num_nan"": 0, ""num_inf"": 1, ""num_error"": 0}}",0,1,0
mock_run_1,model_div,klee-out-1,onnx|pytorch,"{""onnx"": {""total"": 5, ""num_nan"": 1, ""num_inf"": 0, ""num_error"": 0}, ""pytorch"": {""total"": 5, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 0}}",1,0,0
run_latest,model_add,klee-out-1,onnx|pytorch,"{""pytorch"": {""total"": 68, ""num_nan"": 37, ""num_inf"": 40, ""num_error"": 0}, ""onnx"": {""total"": 68, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 68}}",37,40,68
run_latest,model_add,klee-out-2,onnx|pytorch,"{""pytorch"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 0}, ""onnx"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 1}}",0,0,1
run_latest,model_add,klee-out-exp-long,onnx|pytorch,"{""pytorch"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 0}, ""onnx"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 1}}",0,0,1
run_latest,model_sub,klee-out-1,onnx|pytorch,"{""pytorch"": {""total"": 68, ""num_nan"": 37, ""num_inf"": 40, ""num_error"": 0}, ""onnx"": {""total"": 68, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 68}}",37,40,68
run_latest,model_sub,klee-out-2,onnx|pytorch,"{""pytorch"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 0}, ""onnx"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 1}}",0,0,1
run_latest,model_sub,klee-out-exp-long,onnx|pytorch,"{""pytorch"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 0}, ""onnx"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 1}}",0,0,1
run_latest,model_div,klee-out-1,onnx|pytorch,"{""pytorch"": {""total"": 68, ""num_nan"": 58, ""num_inf"": 0, ""num_error"": 0}, ""onnx"": {""total"": 68, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 68}}",58,0,68
run_latest,model_div,klee-out-2,onnx|pytorch,"{""pytorch"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 0}, ""onnx"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 1}}",0,0,1
run_latest,model_div,klee-out-exp-long,onnx|pytorch,"{""pytorch"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 0}, ""onnx"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 1}}",0,0,1
run_latest,model_exp,klee-out-1,onnx|pytorch,"{""pytorch"": {""total"": 68, ""num_nan"": 37, ""num_inf"": 44, ""num_error"": 0}, ""onnx"": {""total"": 68, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 68}}",37,44,68
run_latest,model_exp,klee-out-2,onnx|pytorch,"{""pytorch"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 0}, ""onnx"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 1}}",0,0,1
run_latest,model_exp,klee-out-exp-long,onnx|pytorch,"{""pytorch"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 0}, ""onnx"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 1}}",0,0,1
run_latest,model_log,klee-out-1,onnx|pytorch,"{""pytorch"": {""total"": 68, ""num_nan"": 37, ""num_inf"": 40, ""num_error"": 0}, ""onnx"": {""total"": 68, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 68}}",37,40,68
run_latest,model_log,klee-out-2,onnx|pytorch,"{""pytorch"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 0}, ""onnx"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 1}}",0,0,1
run_latest,model_log,klee-out-exp-long,onnx|pytorch,"{""pytorch"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 0}, ""onnx"": {""total"": 1, ""num_nan"": 0, ""num_inf"": 0, ""num_error"": 1}}",0,0,1
